2Mb	0	1102	1202	100
2Mb	1	4470	4570	100
2Mb	2	9508	9608	100
2Mb	3	18454	18554	100
2Mb	4	26080	26180	100
2Mb	5	30420	30520	100
2Mb	6	31706	31806	100
2Mb	7	37266	37366	100
2Mb	8	39697	39797	100
2Mb	9	45457	45557	100
2Mb	10	48010	48110	100
2Mb	11	51414	51514	100
2Mb	12	55981	56081	100
2Mb	13	59322	59422	100
2Mb	14	61947	62047	100
2Mb	15	65991	66091	100
2Mb	16	67438	67538	100
2Mb	17	75667	75767	100
2Mb	18	79449	79549	100
2Mb	19	85186	85286	100
2Mb	20	93119	93219	100
2Mb	21	95512	95612	100
2Mb	22	101548	101648	100
2Mb	23	102326	102426	100
2Mb	24	105042	105142	100
2Mb	25	109016	109116	100
2Mb	26	113132	113232	100
2Mb	27	115090	115190	100
2Mb	28	117189	117289	100
2Mb	29	118550	118650	100
2Mb	30	121072	121172	100
2Mb	31	124827	124927	100
2Mb	32	128093	128193	100
2Mb	33	129357	129457	100
2Mb	34	133808	133908	100
2Mb	35	140943	141043	100
2Mb	36	147995	148095	100
2Mb	37	149201	149301	100
2Mb	38	152104	152204	100
2Mb	39	157241	157341	100
2Mb	40	158494	158594	100
2Mb	41	159569	159669	100
2Mb	42	162859	162959	100
2Mb	43	163801	163901	100
2Mb	44	167129	167229	100
2Mb	45	172762	172862	100
2Mb	46	174883	174983	100
2Mb	47	181580	181680	100
2Mb	48	186417	186517	100
2Mb	49	188148	188248	100
2Mb	50	190267	190367	100
2Mb	51	193939	194039	100
2Mb	52	195223	195323	100
2Mb	53	196664	196764	100
2Mb	54	198588	198688	100
2Mb	55	201609	201709	100
2Mb	56	202805	202905	100
2Mb	57	203519	203619	100
2Mb	58	204499	204599	100
2Mb	59	205443	205543	100
2Mb	60	215424	215524	100
2Mb	61	217565	217665	100
2Mb	62	218749	218849	100
2Mb	63	223761	223861	100
2Mb	64	238671	238771	100
2Mb	65	245730	245830	100
2Mb	66	338489	338589	100
2Mb	67	341060	341160	100
2Mb	68	344508	344608	100
2Mb	69	351222	351322	100
2Mb	70	352367	352467	100
2Mb	71	359125	359225	100
