2Mb	0	0	1102	1102
2Mb	1	1202	4470	3268
2Mb	2	4570	9508	4938
2Mb	3	9608	18454	8846
2Mb	4	18554	26080	7526
2Mb	5	26180	30420	4240
2Mb	6	30520	31706	1186
2Mb	7	31806	37266	5460
2Mb	8	37366	39697	2331
2Mb	9	39797	45457	5660
2Mb	10	45557	48010	2453
2Mb	11	48110	51414	3304
2Mb	12	51514	55981	4467
2Mb	13	56081	59322	3241
2Mb	14	59422	61947	2525
2Mb	15	62047	65991	3944
2Mb	16	66091	67438	1347
2Mb	17	67538	75667	8129
2Mb	18	75767	79449	3682
2Mb	19	79549	85186	5637
2Mb	20	85286	93119	7833
2Mb	21	93219	95512	2293
2Mb	22	95612	101548	5936
2Mb	23	101648	102326	678
2Mb	24	102426	105042	2616
2Mb	25	105142	109016	3874
2Mb	26	109116	113132	4016
2Mb	27	113232	115090	1858
2Mb	28	115190	117189	1999
2Mb	29	117289	118550	1261
2Mb	30	118650	121072	2422
2Mb	31	121172	124827	3655
2Mb	32	124927	128093	3166
2Mb	33	128193	129357	1164
2Mb	34	129457	133808	4351
2Mb	35	133908	140943	7035
2Mb	36	141043	147995	6952
2Mb	37	148095	149201	1106
2Mb	38	149301	152104	2803
2Mb	39	152204	157241	5037
2Mb	40	157341	158494	1153
2Mb	41	158594	159569	975
2Mb	42	159669	162859	3190
2Mb	43	162959	163801	842
2Mb	44	163901	167129	3228
2Mb	45	167229	172762	5533
2Mb	46	172862	174883	2021
2Mb	47	174983	181580	6597
2Mb	48	181680	186417	4737
2Mb	49	186517	188148	1631
2Mb	50	188248	190267	2019
2Mb	51	190367	193939	3572
2Mb	52	194039	195223	1184
2Mb	53	195323	196664	1341
2Mb	54	196764	198588	1824
2Mb	55	198688	201609	2921
2Mb	56	201709	202805	1096
2Mb	57	202905	203519	614
2Mb	58	203619	204499	880
2Mb	59	204599	205443	844
2Mb	60	205543	215424	9881
2Mb	61	215524	217565	2041
2Mb	62	217665	218749	1084
2Mb	63	218849	223761	4912
2Mb	64	223861	238671	14810
2Mb	65	238771	245730	6959
2Mb	66	245830	338489	92659
2Mb	67	338589	341060	2471
2Mb	68	341160	344508	3348
2Mb	69	344608	351222	6614
2Mb	70	351322	352367	1045
2Mb	71	352467	359125	6658
2Mb	72	359225	367763	8538
2Mb	73	367863	375031	7168
2Mb	74	375131	376933	1802
2Mb	75	377033	382289	5256
2Mb	76	382389	395724	13335
2Mb	77	395824	398690	2866
2Mb	78	398790	401585	2795
2Mb	79	401685	432292	30607
2Mb	80	432392	433447	1055
2Mb	81	433547	435563	2016
2Mb	82	435663	454386	18723
2Mb	83	454486	465644	11158
2Mb	84	465744	490172	24428
2Mb	85	490272	491173	901
2Mb	86	491273	493522	2249
2Mb	87	493622	496887	3265
2Mb	88	496987	498745	1758
2Mb	89	498845	499916	1071
2Mb	90	500016	503826	3810
2Mb	91	503926	507662	3736
